Email,Event,Date,Time,Venue
"Meeting with CEO","Company Meeting","2025-04-01","10:00 AM","Conference Room A"
"Team Lunch","Lunch Gathering","2025-04-02","12:30 PM","Cafeteria"
"Project Deadline","Final Submission","2025-04-05","11:59 PM","Online Portal"
"Product Launch","New Product Demo","2025-04-07","3:00 PM","Main Auditorium"
"Marketing Review","Strategy Meeting","2025-04-10","2:00 PM","Board Room 3"
"HR Orientation","New Employee Induction","2025-04-12","9:30 AM","Training Hall"
"Tech Conference","AI & ML Summit","2025-04-15","10:00 AM","Expo Center Hall 2"
"Birthday Celebration","Surprise Party for John","2025-04-17","6:00 PM","Cafeteria"
"Webinar Invitation","Cybersecurity in 2025","2025-04-20","5:00 PM","Zoom Link"
"University Seminar","Guest Lecture on AI","2025-04-22","11:00 AM","Lecture Hall 1"
"Sports Event","Annual Football Match","2025-04-25","4:00 PM","Sports Ground"
"Medical Checkup","Health Camp","2025-04-27","9:00 AM","Office Medical Room"
"Finance Deadline","Tax Submission","2025-04-30","11:59 PM","Internal Portal"
"Client Presentation","Q2 Business Review","2025-05-03","2:30 PM","Client Office"
"Office Picnic","Annual Team Outing","2025-05-05","8:00 AM","National Park"
"Hackathon","AI Innovation Challenge","2025-05-10","9:00 AM","Tech Hub"
"Wedding Invitation","Emma & Liam's Wedding","2025-05-15","6:30 PM","Grand Hall"
"Online Course","Python for Data Science","2025-05-18","Anytime","Coursera Platform"
"Project Review","Progress Discussion","2025-05-20","3:00 PM","Meeting Room 2"
"Doctor's Appointment","Routine Checkup","2025-05-22","10:30 AM","City Hospital"
